"cond" "y"
"1" "a" 124.196762160693
"2" "a" 178.820384005187
"3" "a" 135.037612303326
"4" "a" 150.901650939694
"5" "a" 130.14767015184
"6" "a" 199.367974358098
"7" "a" 136.11672408559
"8" "a" 215.408451038235
"9" "a" 158.797400807929
"10" "a" 82.1258887945189
"11" "a" 117.892237337664
"12" "a" 167.318511054092
"13" "a" 207.576729893558
"14" "a" 170.646879237499
"15" "a" 224.495264963827
"16" "a" 128.933080453228
"17" "a" 217.153463223189
"18" "a" 181.7343902446
"19" "a" 127.304638626171
"20" "a" 138.651157431035
"21" "b" 183.560538271343
"22" "b" 140.002240758153
"23" "b" 261.120864548243
"24" "b" 206.269110532665
"25" "b" 138.141646452397
"26" "b" 151.307815618162
"27" "b" 238.298654886177
"28" "b" 263.529809871196
"29" "b" 180.4561260496
"30" "b" 220.044624551
"31" "b" 150.42690024589
"32" "b" 233.863786579319
"33" "b" 138.305989223971
"34" "b" 159.20200701262
"35" "b" 234.242956064154
"36" "b" 206.295314192672
"37" "b" 200.726239819561
"38" "b" 271.457586825559
"39" "b" 181.167066926143
"40" "b" 1.49859920156
