"cond" "y"
"1" "a" 134.072865613347
"2" "a" 117.169352219306
"3" "a" 182.468165322073
"4" "a" 178.083534946931
"5" "a" 132.126301074503
"6" "a" 159.562191529814
"7" "a" 66.257515365576
"8" "a" 145.639719277256
"9" "a" 162.269394618103
"10" "a" 93.38608846395
"11" "a" 169.301798124511
"12" "a" 250.332094515521
"13" "a" 175.660215845384
"14" "a" 116.858567308358
"15" "a" 107.722598540428
"16" "a" 178.092958065311
"17" "a" 161.950251058941
"18" "a" 220.293622619103
"19" "a" 169.912319198671
"20" "a" 216.542882184789
"21" "b" 227.284413915406
"22" "b" 216.5075325689
"23" "b" 123.312067594174
"24" "b" 145.815608074067
"25" "b" 205.311095211688
"26" "b" 171.45387433362
"27" "b" 238.86825383557
"28" "b" 125.154076476163
"29" "b" 200.777449279132
"30" "b" 237.282925391472
"31" "b" 212.018996648639
"32" "b" 297.780509304125
"33" "b" 218.550430955343
"34" "b" 276.007354235823
"35" "b" 196.991232254825
"36" "b" 204.541013624172
"37" "b" 164.117188447654
"38" "b" 148.071101211779
"39" "b" 243.768986699623
"40" "b" 199.45250947335
