"subj" "item" "cond" "rt"
"1" 1 1 1 1016.33817590267
"2" 1 1 2 1049.96550088066
"3" 1 2 1 1025.48777960794
"4" 1 2 2 1035.28479603136
"5" 1 3 1 1010.42354213494
"6" 1 3 2 1009.63959924957
"7" 1 4 1 1006.78887237478
"8" 1 4 2 1000.9352197842
"9" 1 5 1 1018.35291460068
"10" 1 5 2 1019.33867977751
"11" 1 6 1 1016.97311728169
"12" 1 6 2 1007.73271294859
"13" 1 7 1 1008.81610831151
"14" 1 7 2 1011.95752656081
"15" 1 8 1 996.329993375519
"16" 1 8 2 1032.20151005558
"17" 1 9 1 993.965389818295
"18" 1 9 2 1018.6881696426
"19" 1 10 1 1015.92346514045
"20" 1 10 2 1027.74076329983
"21" 1 11 1 1007.05289176449
"22" 1 11 2 1043.11601874766
"23" 1 12 1 1009.34024541156
"24" 1 12 2 1021.76639968752
"25" 2 1 1 1009.97233757751
"26" 2 1 2 1006.63509625776
"27" 2 2 1 1012.95982385319
"28" 2 2 2 980.893812026502
"29" 2 3 1 1003.60898758687
"30" 2 3 2 989.923087082973
"31" 2 4 1 975.78746755785
"32" 2 4 2 989.788746636656
"33" 2 5 1 1010.46767813116
"34" 2 5 2 993.150982071369
"35" 2 6 1 1003.63321416133
"36" 2 6 2 1008.85801317318
"37" 2 7 1 987.732178954399
"38" 2 7 2 986.913827811709
"39" 2 8 1 1014.03320105026
"40" 2 8 2 991.278734677989
"41" 2 9 1 1019.43375085403
"42" 2 9 2 999.853684821327
"43" 2 10 1 1025.86718971812
"44" 2 10 2 1022.45306051235
"45" 2 11 1 1006.57351421066
"46" 2 11 2 1022.19902024791
"47" 2 12 1 984.608826106181
"48" 2 12 2 998.285998287422
"49" 3 1 1 1030.80472088696
"50" 3 1 2 1037.42446284256
"51" 3 2 1 1019.47769696156
"52" 3 2 2 1004.49809816852
"53" 3 3 1 1021.65294235288
"54" 3 3 2 1023.79522364465
"55" 3 4 1 995.187565905435
"56" 3 4 2 994.539046057735
"57" 3 5 1 1033.24064877224
"58" 3 5 2 1018.48634480723
"59" 3 6 1 1006.94847306231
"60" 3 6 2 1008.50641621334
"61" 3 7 1 1025.80474563137
"62" 3 7 2 1015.73011598305
"63" 3 8 1 989.953548216247
"64" 3 8 2 1008.87546938018
"65" 3 9 1 1015.02630904458
"66" 3 9 2 1015.60199761495
"67" 3 10 1 993.493677062255
"68" 3 10 2 1026.25353149227
"69" 3 11 1 1014.10805960628
"70" 3 11 2 1022.07051711248
"71" 3 12 1 1007.58110561254
"72" 3 12 2 1027.54730525786
"73" 4 1 1 992.016398409726
"74" 4 1 2 1022.24588039915
"75" 4 2 1 1022.63277969736
"76" 4 2 2 1007.11856622094
"77" 4 3 1 991.437501617001
"78" 4 3 2 992.098608549338
"79" 4 4 1 957.104912231664
"80" 4 4 2 987.500860720384
"81" 4 5 1 1000.55386554981
"82" 4 5 2 1003.11839419703
"83" 4 6 1 1001.90717732644
"84" 4 6 2 980.865438754131
"85" 4 7 1 1007.71250031002
"86" 4 7 2 1004.72478957384
"87" 4 8 1 976.187363793535
"88" 4 8 2 1001.61735359592
"89" 4 9 1 1011.697320574
"90" 4 9 2 1009.27439143959
"91" 4 10 1 1000.40361232166
"92" 4 10 2 1028.10086605851
"93" 4 11 1 1007.96861818568
"94" 4 11 2 1009.5913836044
"95" 4 12 1 989.585311572903
"96" 4 12 2 1005.48152800152
"97" 5 1 1 1033.57275234733
"98" 5 1 2 1047.82744639845
"99" 5 2 1 1017.8614862522
"100" 5 2 2 1010.21539275592
"101" 5 3 1 1015.23663774039
"102" 5 3 2 1011.54659100228
"103" 5 4 1 991.725408354527
"104" 5 4 2 1006.51886797085
"105" 5 5 1 1036.39051123421
"106" 5 5 2 1013.60562646611
"107" 5 6 1 1008.41904840593
"108" 5 6 2 1014.59600270878
"109" 5 7 1 1003.03629558682
"110" 5 7 2 1023.525166923
"111" 5 8 1 1008.18404216203
"112" 5 8 2 1007.34425499766
"113" 5 9 1 1023.88389368591
"114" 5 9 2 1004.25560355672
"115" 5 10 1 1024.86776253249
"116" 5 10 2 1021.6102290181
"117" 5 11 1 1023.47989250858
"118" 5 11 2 1046.96178743921
"119" 5 12 1 1008.02052148116
"120" 5 12 2 1018.32923138906
"121" 6 1 1 1022.78882243415
"122" 6 1 2 1036.82279672603
"123" 6 2 1 1024.24362468399
"124" 6 2 2 1003.0419392234
"125" 6 3 1 1001.33870013766
"126" 6 3 2 1009.67954193058
"127" 6 4 1 989.71361864157
"128" 6 4 2 1013.93834034961
"129" 6 5 1 1022.91395353958
"130" 6 5 2 1008.32297582381
"131" 6 6 1 1019.09401240017
"132" 6 6 2 1011.79236249464
"133" 6 7 1 1013.3943625477
"134" 6 7 2 1006.31454965033
"135" 6 8 1 1001.9651942476
"136" 6 8 2 1021.51311859637
"137" 6 9 1 1017.37912441258
